design,method,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,true_discoveries,false_discoveries,delay
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314233,0.0,0.0625,0.07142857142857142,0.875,1,1,0,715.0
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314233,0.0,0.0625,0.07142857142857142,0.875,1,1,0,715.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314234,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314234,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314235,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314235,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314236,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314236,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314237,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314237,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314238,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314238,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314239,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314239,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314240,0.0,0.0625,0.06666666666666667,0.9375,1,1,0,905.0
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314240,0.0,0.0625,0.06666666666666667,0.9375,1,1,0,905.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314241,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314241,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314242,0.0,0.0,0.0,1.0,0,0,0,
