design,method,seed,false_discoveries,any_false,first_day
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271948,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271949,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271949,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271950,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271950,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271951,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271951,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271952,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271952,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271953,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271953,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271954,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271954,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271955,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271955,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271956,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271956,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271957,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271957,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271958,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271958,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271959,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271959,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271960,9,1,1465
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271960,3,1,1525
anchored75-fixed-daily,Persistent weighted e-BH,271961,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271961,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271962,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271962,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271963,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271963,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271964,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271964,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271965,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271965,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271966,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271966,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271967,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271967,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271968,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271968,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271969,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271969,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271970,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271970,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271971,4,1,1188
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271971,3,1,1192
anchored75-fixed-daily,Persistent weighted e-BH,271972,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271972,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271973,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271973,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271974,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271974,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271975,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271975,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271976,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271976,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271977,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271977,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271978,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271978,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271979,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271979,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271980,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271980,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271981,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271981,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271982,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271982,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271983,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271983,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271984,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271984,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271985,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271985,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271986,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271986,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271987,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271987,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271988,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271988,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271989,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271989,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271990,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271990,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271991,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271991,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271992,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271992,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271993,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271993,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271994,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271994,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271995,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271995,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271996,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271996,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271997,0,0,-1
