design,seed,rank_bin,true_proposals,true_promotions
campaign75-fixed-daily,52001018,6-10,5,3
campaign75-fixed-daily,52001018,11-20,5,3
campaign75-fixed-daily,52001018,21-35,1,0
campaign75-fixed-daily,52001018,36-50,0,0
campaign75-geometric-daily,52001018,1-5,5,5
campaign75-geometric-daily,52001018,6-10,5,3
campaign75-geometric-daily,52001018,11-20,5,3
campaign75-geometric-daily,52001018,21-35,1,0
campaign75-geometric-daily,52001018,36-50,0,0
telescoping-fixed,52001019,1-5,5,4
telescoping-fixed,52001019,6-10,5,4
telescoping-fixed,52001019,11-20,6,1
telescoping-fixed,52001019,21-35,0,0
telescoping-fixed,52001019,36-50,0,0
campaign75-fixed-daily,52001019,1-5,5,4
campaign75-fixed-daily,52001019,6-10,5,4
campaign75-fixed-daily,52001019,11-20,6,1
campaign75-fixed-daily,52001019,21-35,0,0
campaign75-fixed-daily,52001019,36-50,0,0
campaign75-geometric-daily,52001019,1-5,5,4
campaign75-geometric-daily,52001019,6-10,5,4
campaign75-geometric-daily,52001019,11-20,6,5
campaign75-geometric-daily,52001019,21-35,0,0
campaign75-geometric-daily,52001019,36-50,0,0
telescoping-fixed,52001020,1-5,5,5
telescoping-fixed,52001020,6-10,5,5
telescoping-fixed,52001020,11-20,6,4
telescoping-fixed,52001020,21-35,0,0
telescoping-fixed,52001020,36-50,0,0
campaign75-fixed-daily,52001020,1-5,5,5
campaign75-fixed-daily,52001020,6-10,5,5
campaign75-fixed-daily,52001020,11-20,6,5
campaign75-fixed-daily,52001020,21-35,0,0
campaign75-fixed-daily,52001020,36-50,0,0
campaign75-geometric-daily,52001020,1-5,5,5
campaign75-geometric-daily,52001020,6-10,5,5
campaign75-geometric-daily,52001020,11-20,6,5
campaign75-geometric-daily,52001020,21-35,0,0
campaign75-geometric-daily,52001020,36-50,0,0
telescoping-fixed,52001021,1-5,5,0
telescoping-fixed,52001021,6-10,5,0
telescoping-fixed,52001021,11-20,5,0
telescoping-fixed,52001021,21-35,1,0
telescoping-fixed,52001021,36-50,0,0
campaign75-fixed-daily,52001021,1-5,5,0
campaign75-fixed-daily,52001021,6-10,5,0
campaign75-fixed-daily,52001021,11-20,5,0
campaign75-fixed-daily,52001021,21-35,1,0
campaign75-fixed-daily,52001021,36-50,0,0
campaign75-geometric-daily,52001021,1-5,5,0
campaign75-geometric-daily,52001021,6-10,5,0
campaign75-geometric-daily,52001021,11-20,5,0
campaign75-geometric-daily,52001021,21-35,1,0
campaign75-geometric-daily,52001021,36-50,0,0
telescoping-fixed,52001022,1-5,5,3
telescoping-fixed,52001022,6-10,5,5
telescoping-fixed,52001022,11-20,5,2
telescoping-fixed,52001022,21-35,1,0
telescoping-fixed,52001022,36-50,0,0
campaign75-fixed-daily,52001022,1-5,5,3
campaign75-fixed-daily,52001022,6-10,5,5
campaign75-fixed-daily,52001022,11-20,5,3
campaign75-fixed-daily,52001022,21-35,1,0
campaign75-fixed-daily,52001022,36-50,0,0
campaign75-geometric-daily,52001022,1-5,5,3
campaign75-geometric-daily,52001022,6-10,5,5
campaign75-geometric-daily,52001022,11-20,5,3
campaign75-geometric-daily,52001022,21-35,1,0
campaign75-geometric-daily,52001022,36-50,0,0
telescoping-fixed,52001023,1-5,5,5
telescoping-fixed,52001023,6-10,5,3
telescoping-fixed,52001023,11-20,5,2
telescoping-fixed,52001023,21-35,1,0
telescoping-fixed,52001023,36-50,0,0
campaign75-fixed-daily,52001023,1-5,5,4
campaign75-fixed-daily,52001023,6-10,5,3
campaign75-fixed-daily,52001023,11-20,5,2
campaign75-fixed-daily,52001023,21-35,1,0
campaign75-fixed-daily,52001023,36-50,0,0
campaign75-geometric-daily,52001023,1-5,5,4
campaign75-geometric-daily,52001023,6-10,5,2
campaign75-geometric-daily,52001023,11-20,5,2
campaign75-geometric-daily,52001023,21-35,1,0
campaign75-geometric-daily,52001023,36-50,0,0
telescoping-fixed,52001024,1-5,5,5
telescoping-fixed,52001024,6-10,5,2
telescoping-fixed,52001024,11-20,5,2
telescoping-fixed,52001024,21-35,1,0
telescoping-fixed,52001024,36-50,0,0
campaign75-fixed-daily,52001024,1-5,5,5
campaign75-fixed-daily,52001024,6-10,5,3
campaign75-fixed-daily,52001024,11-20,5,2
campaign75-fixed-daily,52001024,21-35,1,0
campaign75-fixed-daily,52001024,36-50,0,0
campaign75-geometric-daily,52001024,1-5,5,5
campaign75-geometric-daily,52001024,6-10,5,3
campaign75-geometric-daily,52001024,11-20,5,2
campaign75-geometric-daily,52001024,21-35,1,0
campaign75-geometric-daily,52001024,36-50,0,0
telescoping-fixed,52001025,1-5,5,5
telescoping-fixed,52001025,6-10,5,1
telescoping-fixed,52001025,11-20,6,0
telescoping-fixed,52001025,21-35,0,0
telescoping-fixed,52001025,36-50,0,0
campaign75-fixed-daily,52001025,1-5,5,5
campaign75-fixed-daily,52001025,6-10,5,1
campaign75-fixed-daily,52001025,11-20,6,0
campaign75-fixed-daily,52001025,21-35,0,0
campaign75-fixed-daily,52001025,36-50,0,0
campaign75-geometric-daily,52001025,1-5,5,5
campaign75-geometric-daily,52001025,6-10,5,1
campaign75-geometric-daily,52001025,11-20,6,0
campaign75-geometric-daily,52001025,21-35,0,0
campaign75-geometric-daily,52001025,36-50,0,0
telescoping-fixed,52001026,1-5,5,5
telescoping-fixed,52001026,6-10,5,5
telescoping-fixed,52001026,11-20,6,6
telescoping-fixed,52001026,21-35,0,0
telescoping-fixed,52001026,36-50,0,0
campaign75-fixed-daily,52001026,1-5,5,5
campaign75-fixed-daily,52001026,6-10,5,5
campaign75-fixed-daily,52001026,11-20,6,6
campaign75-fixed-daily,52001026,21-35,0,0
campaign75-fixed-daily,52001026,36-50,0,0
campaign75-geometric-daily,52001026,1-5,5,5
campaign75-geometric-daily,52001026,6-10,5,5
campaign75-geometric-daily,52001026,11-20,6,6
campaign75-geometric-daily,52001026,21-35,0,0
campaign75-geometric-daily,52001026,36-50,0,0
telescoping-fixed,52001027,1-5,5,2
telescoping-fixed,52001027,6-10,5,0
telescoping-fixed,52001027,11-20,3,0
telescoping-fixed,52001027,21-35,3,0
telescoping-fixed,52001027,36-50,0,0
campaign75-fixed-daily,52001027,1-5,5,2
campaign75-fixed-daily,52001027,6-10,5,0
campaign75-fixed-daily,52001027,11-20,3,0
campaign75-fixed-daily,52001027,21-35,3,0
campaign75-fixed-daily,52001027,36-50,0,0
campaign75-geometric-daily,52001027,1-5,5,2
campaign75-geometric-daily,52001027,6-10,5,0
campaign75-geometric-daily,52001027,11-20,3,0
campaign75-geometric-daily,52001027,21-35,3,0
campaign75-geometric-daily,52001027,36-50,0,0
telescoping-fixed,52001028,1-5,5,5
telescoping-fixed,52001028,6-10,4,3
telescoping-fixed,52001028,11-20,6,6
telescoping-fixed,52001028,21-35,1,1
telescoping-fixed,52001028,36-50,0,0
campaign75-fixed-daily,52001028,1-5,5,5
campaign75-fixed-daily,52001028,6-10,4,4
campaign75-fixed-daily,52001028,11-20,6,6
campaign75-fixed-daily,52001028,21-35,1,1
campaign75-fixed-daily,52001028,36-50,0,0
campaign75-geometric-daily,52001028,1-5,5,5
campaign75-geometric-daily,52001028,6-10,4,4
campaign75-geometric-daily,52001028,11-20,6,6
campaign75-geometric-daily,52001028,21-35,1,1
campaign75-geometric-daily,52001028,36-50,0,0
telescoping-fixed,52001029,1-5,5,5
