annual_sharpe,correlation,seed,seed_source,proposal_recall,method,fdp,conditional_power,end_to_end_power,discoveries,delay_days
0.5,0,314251,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314252,archived_314159_anchor,1,SAFE-ALPHA,0,0,0,0,
0.5,0,314252,archived_314159_anchor,1,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314253,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314253,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314254,archived_314159_anchor,1,SAFE-ALPHA,0,0,0,0,
0.5,0,314254,archived_314159_anchor,1,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314255,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314255,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314256,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314256,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314257,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0.0769230769231,0.0625,1,671
0.5,0,314257,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314258,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314258,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314259,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0.0666666666667,0.0625,1,141
0.5,0,314259,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314260,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314260,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314261,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314261,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314262,archived_314159_anchor,0.75,SAFE-ALPHA,0,0,0,0,
0.5,0,314262,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314263,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314263,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314264,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314264,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314265,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314265,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314266,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314266,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314267,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314267,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314268,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314268,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314269,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314269,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314270,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314270,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314271,archived_314159_anchor,0.875,SAFE-ALPHA,0,0.0714285714286,0.0625,1,91
0.5,0,314271,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314272,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314272,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314273,archived_314159_anchor,0.75,SAFE-ALPHA,0,0.0833333333333,0.0625,1,421
0.5,0,314273,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314274,archived_314159_anchor,0.6875,SAFE-ALPHA,0,0,0,0,
0.5,0,314274,archived_314159_anchor,0.6875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314275,archived_314159_anchor,0.875,SAFE-ALPHA,0,0.0714285714286,0.0625,1,1026
