q,method,fdp,end_to_end_power,discoveries,delay_days,seed
0.075,Matched terminal weighted e-BH,0,0.8125,13,1164.38461538,315921
0.1,SAFE-ALPHA,0,0.875,14,443.142857143,315921
0.1,Matched terminal weighted e-BH,0,0.875,14,1152.92857143,315921
0.125,SAFE-ALPHA,0,0.9375,15,457.666666667,315921
0.125,Matched terminal weighted e-BH,0,0.875,14,1152.92857143,315921
0.15,SAFE-ALPHA,0,0.9375,15,431.666666667,315921
0.15,Matched terminal weighted e-BH,0,0.9375,15,1146,315921
0.175,SAFE-ALPHA,0,1,16,418.5,315921
0.175,Matched terminal weighted e-BH,0,0.9375,15,1146,315921
0.2,SAFE-ALPHA,0,1,16,401.9375,315921
0.2,Matched terminal weighted e-BH,0,0.9375,15,1146,315921
0.01,SAFE-ALPHA,0,0.875,14,748.857142857,315922
0.01,Matched terminal weighted e-BH,0,0.875,14,1143.28571429,315922
0.025,SAFE-ALPHA,0,0.875,14,680.642857143,315922
0.025,Matched terminal weighted e-BH,0,0.875,14,1143.28571429,315922
0.05,SAFE-ALPHA,0,0.9375,15,596.666666667,315922
0.05,Matched terminal weighted e-BH,0,0.9375,15,1151,315922
0.075,SAFE-ALPHA,0,1,16,545.6875,315922
0.075,Matched terminal weighted e-BH,0,0.9375,15,1151,315922
0.1,SAFE-ALPHA,0,1,16,501.625,315922
0.1,Matched terminal weighted e-BH,0,0.9375,15,1151,315922
0.125,SAFE-ALPHA,0,1,16,465.6875,315922
0.125,Matched terminal weighted e-BH,0,0.9375,15,1151,315922
0.15,SAFE-ALPHA,0,1,16,450.6875,315922
0.15,Matched terminal weighted e-BH,0,0.9375,15,1151,315922
0.175,SAFE-ALPHA,0,1,16,443.1875,315922
0.175,Matched terminal weighted e-BH,0,0.9375,15,1151,315922
0.2,SAFE-ALPHA,0,1,16,436.9375,315922
0.2,Matched terminal weighted e-BH,0,0.9375,15,1151,315922
0.01,SAFE-ALPHA,0,0.3125,5,874,315923
0.01,Matched terminal weighted e-BH,0,0.1875,3,1214,315923
0.025,SAFE-ALPHA,0,0.375,6,676.833333333,315923
0.025,Matched terminal weighted e-BH,0,0.3125,5,1190,315923
0.05,SAFE-ALPHA,0,0.5625,9,601,315923
0.05,Matched terminal weighted e-BH,0,0.3125,5,1190,315923
0.075,SAFE-ALPHA,0,0.625,10,549.5,315923
0.075,Matched terminal weighted e-BH,0,0.3125,5,1190,315923
0.1,SAFE-ALPHA,0,0.625,10,545,315923
0.1,Matched terminal weighted e-BH,0,0.3125,5,1190,315923
0.125,SAFE-ALPHA,0,0.6875,11,525.090909091,315923
0.125,Matched terminal weighted e-BH,0,0.3125,5,1190,315923
0.15,SAFE-ALPHA,0,0.75,12,535.166666667,315923
0.15,Matched terminal weighted e-BH,0,0.375,6,1179,315923
0.175,SAFE-ALPHA,0,0.75,12,526.833333333,315923
0.175,Matched terminal weighted e-BH,0,0.375,6,1179,315923
0.2,SAFE-ALPHA,0,0.75,12,509.75,315923
0.2,Matched terminal weighted e-BH,0,0.625,10,1158.5,315923
0.01,SAFE-ALPHA,0,0.6875,11,842.818181818,315924
0.01,Matched terminal weighted e-BH,0,0.5,8,1174.625,315924
0.025,SAFE-ALPHA,0,0.8125,13,788.692307692,315924
0.025,Matched terminal weighted e-BH,0,0.5625,9,1174,315924
0.05,SAFE-ALPHA,0,0.8125,13,759.076923077,315924
0.05,Matched terminal weighted e-BH,0,0.6875,11,1169,315924
0.075,SAFE-ALPHA,0,0.875,14,645.285714286,315924
0.075,Matched terminal weighted e-BH,0,0.8125,13,1165.53846154,315924
0.1,SAFE-ALPHA,0,0.875,14,625.642857143,315924
0.1,Matched terminal weighted e-BH,0,0.8125,13,1165.53846154,315924
0.125,SAFE-ALPHA,0,0.875,14,573.5,315924
0.125,Matched terminal weighted e-BH,0,0.8125,13,1165.53846154,315924
0.15,SAFE-ALPHA,0,0.875,14,568.857142857,315924
0.15,Matched terminal weighted e-BH,0,0.8125,13,1165.53846154,315924
0.175,SAFE-ALPHA,0,0.875,14,561.714285714,315924
0.175,Matched terminal weighted e-BH,0,0.8125,13,1165.53846154,315924
0.2,SAFE-ALPHA,0,0.875,14,559.214285714,315924
0.2,Matched terminal weighted e-BH,0,0.8125,13,1165.53846154,315924
0.01,SAFE-ALPHA,0,0.25,4,759.75,315925
0.01,Matched terminal weighted e-BH,0,0.1875,3,1224,315925
0.025,SAFE-ALPHA,0,0.4375,7,736.714285714,315925
0.025,Matched terminal weighted e-BH,0,0.1875,3,1224,315925
0.05,SAFE-ALPHA,0,0.4375,7,630.285714286,315925
0.05,Matched terminal weighted e-BH,0,0.3125,5,1205,315925
0.075,SAFE-ALPHA,0,0.4375,7,588.857142857,315925
0.075,Matched terminal weighted e-BH,0,0.375,6,1211.5,315925
0.1,SAFE-ALPHA,0,0.625,10,656,315925
0.1,Matched terminal weighted e-BH,0,0.4375,7,1205.42857143,315925
0.125,SAFE-ALPHA,0,0.625,10,592.5,315925
