design,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,delay,terminal_fdp,terminal_end_to_end_power
telescoping-hedged,1.0,0.5,41000031,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000031,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000031,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000032,0.0,0.0625,0.0625,1.0,1,776.0,0.0,0.0
telescoping-hedged,1.0,0.5,41000032,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000032,0.0,0.125,0.125,1.0,2,831.0,0.0,0.0
campaign-hedged,1.0,0.5,41000032,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000033,0.07142857142857142,0.8125,0.8125,1.0,14,625.6153846153846,0.0,0.8125
telescoping-hedged,1.0,0.5,41000033,0.07142857142857142,0.8125,0.8125,1.0,14,750.2307692307693,0.0,0.8125
campaign-fixed,1.0,0.5,41000033,0.4074074074074074,1.0,1.0,1.0,27,632.25,0.3333333333333333,1.0
campaign-hedged,1.0,0.5,41000033,0.15789473684210525,1.0,1.0,1.0,19,708.8125,0.16666666666666666,0.9375
telescoping-fixed,1.0,0.5,41000034,0.0,0.0625,0.0625,1.0,1,1071.0,0.0,0.0
telescoping-hedged,1.0,0.5,41000034,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000034,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000034,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000035,0.0,0.625,0.625,1.0,10,709.5,0.0,0.5
telescoping-hedged,1.0,0.5,41000035,0.0,0.4375,0.4375,1.0,7,743.8571428571429,0.0,0.4375
campaign-fixed,1.0,0.5,41000035,0.08333333333333333,0.6875,0.6875,1.0,12,672.8181818181819,0.0,0.6875
campaign-hedged,1.0,0.5,41000035,0.0,0.5,0.5,1.0,8,729.75,0.0,0.4375
telescoping-fixed,1.0,0.5,41000036,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000036,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000036,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000036,0.0,0.0,0.0,1.0,0,,0.0,0.0
