design,annual_sharpe,correlation,seed,rank_bin,true_proposals,true_promotions
telescoping-fixed,1.5,0.5,315925,1-5,5,5
telescoping-fixed,1.5,0.5,315925,6-10,5,5
telescoping-fixed,1.5,0.5,315925,11-20,5,0
telescoping-fixed,1.5,0.5,315925,21-35,0,0
telescoping-fixed,1.5,0.5,315925,36-50,1,0
campaign75-fixed-daily,1.5,0.5,315925,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315925,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315925,11-20,5,2
campaign75-fixed-daily,1.5,0.5,315925,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315925,36-50,1,0
telescoping-fixed,1.5,0.5,315926,1-5,5,0
telescoping-fixed,1.5,0.5,315926,6-10,5,0
telescoping-fixed,1.5,0.5,315926,11-20,6,0
telescoping-fixed,1.5,0.5,315926,21-35,0,0
telescoping-fixed,1.5,0.5,315926,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315926,1-5,5,0
campaign75-fixed-daily,1.5,0.5,315926,6-10,5,0
campaign75-fixed-daily,1.5,0.5,315926,11-20,6,0
campaign75-fixed-daily,1.5,0.5,315926,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315926,36-50,0,0
telescoping-fixed,1.5,0.5,315927,1-5,5,5
telescoping-fixed,1.5,0.5,315927,6-10,5,5
telescoping-fixed,1.5,0.5,315927,11-20,6,3
telescoping-fixed,1.5,0.5,315927,21-35,0,0
telescoping-fixed,1.5,0.5,315927,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315927,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315927,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315927,11-20,6,5
campaign75-fixed-daily,1.5,0.5,315927,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315927,36-50,0,0
telescoping-fixed,1.5,0.5,315928,1-5,5,5
telescoping-fixed,1.5,0.5,315928,6-10,4,4
telescoping-fixed,1.5,0.5,315928,11-20,7,5
telescoping-fixed,1.5,0.5,315928,21-35,0,0
telescoping-fixed,1.5,0.5,315928,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315928,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315928,6-10,4,4
campaign75-fixed-daily,1.5,0.5,315928,11-20,7,6
campaign75-fixed-daily,1.5,0.5,315928,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315928,36-50,0,0
telescoping-fixed,1.5,0.5,315929,1-5,5,4
telescoping-fixed,1.5,0.5,315929,6-10,5,3
telescoping-fixed,1.5,0.5,315929,11-20,6,2
telescoping-fixed,1.5,0.5,315929,21-35,0,0
telescoping-fixed,1.5,0.5,315929,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315929,1-5,5,4
campaign75-fixed-daily,1.5,0.5,315929,6-10,5,3
campaign75-fixed-daily,1.5,0.5,315929,11-20,6,3
campaign75-fixed-daily,1.5,0.5,315929,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315929,36-50,0,0
telescoping-fixed,1.5,0.5,315930,1-5,5,5
telescoping-fixed,1.5,0.5,315930,6-10,4,0
telescoping-fixed,1.5,0.5,315930,11-20,6,0
telescoping-fixed,1.5,0.5,315930,21-35,1,0
telescoping-fixed,1.5,0.5,315930,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315930,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315930,6-10,4,1
campaign75-fixed-daily,1.5,0.5,315930,11-20,6,2
campaign75-fixed-daily,1.5,0.5,315930,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315930,36-50,0,0
telescoping-fixed,1.5,0.5,315931,1-5,5,5
telescoping-fixed,1.5,0.5,315931,6-10,5,3
telescoping-fixed,1.5,0.5,315931,11-20,6,3
telescoping-fixed,1.5,0.5,315931,21-35,0,0
telescoping-fixed,1.5,0.5,315931,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315931,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315931,6-10,5,3
campaign75-fixed-daily,1.5,0.5,315931,11-20,6,3
campaign75-fixed-daily,1.5,0.5,315931,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315931,36-50,0,0
telescoping-fixed,1.5,0.5,315932,1-5,5,3
telescoping-fixed,1.5,0.5,315932,6-10,5,2
telescoping-fixed,1.5,0.5,315932,11-20,5,2
telescoping-fixed,1.5,0.5,315932,21-35,1,0
telescoping-fixed,1.5,0.5,315932,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315932,1-5,5,3
campaign75-fixed-daily,1.5,0.5,315932,6-10,5,2
campaign75-fixed-daily,1.5,0.5,315932,11-20,5,2
campaign75-fixed-daily,1.5,0.5,315932,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315932,36-50,0,0
telescoping-fixed,1.5,0.5,315933,1-5,5,5
telescoping-fixed,1.5,0.5,315933,6-10,5,5
telescoping-fixed,1.5,0.5,315933,11-20,6,3
telescoping-fixed,1.5,0.5,315933,21-35,0,0
telescoping-fixed,1.5,0.5,315933,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315933,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315933,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315933,11-20,6,4
campaign75-fixed-daily,1.5,0.5,315933,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315933,36-50,0,0
telescoping-fixed,1.5,0.5,315934,1-5,5,3
telescoping-fixed,1.5,0.5,315934,6-10,5,1
telescoping-fixed,1.5,0.5,315934,11-20,6,1
telescoping-fixed,1.5,0.5,315934,21-35,0,0
telescoping-fixed,1.5,0.5,315934,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315934,1-5,5,3
campaign75-fixed-daily,1.5,0.5,315934,6-10,5,2
campaign75-fixed-daily,1.5,0.5,315934,11-20,6,1
campaign75-fixed-daily,1.5,0.5,315934,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315934,36-50,0,0
telescoping-fixed,1.5,0.5,315935,1-5,5,5
telescoping-fixed,1.5,0.5,315935,6-10,5,5
telescoping-fixed,1.5,0.5,315935,11-20,6,3
telescoping-fixed,1.5,0.5,315935,21-35,0,0
telescoping-fixed,1.5,0.5,315935,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315935,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315935,6-10,5,4
campaign75-fixed-daily,1.5,0.5,315935,11-20,6,3
campaign75-fixed-daily,1.5,0.5,315935,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315935,36-50,0,0
telescoping-fixed,1.5,0.5,315936,1-5,5,3
telescoping-fixed,1.5,0.5,315936,6-10,5,1
telescoping-fixed,1.5,0.5,315936,11-20,6,0
telescoping-fixed,1.5,0.5,315936,21-35,0,0
telescoping-fixed,1.5,0.5,315936,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315936,1-5,5,2
campaign75-fixed-daily,1.5,0.5,315936,6-10,5,1
campaign75-fixed-daily,1.5,0.5,315936,11-20,6,2
campaign75-fixed-daily,1.5,0.5,315936,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315936,36-50,0,0
telescoping-fixed,1.5,0.5,315937,1-5,5,5
telescoping-fixed,1.5,0.5,315937,6-10,4,2
telescoping-fixed,1.5,0.5,315937,11-20,7,3
telescoping-fixed,1.5,0.5,315937,21-35,0,0
telescoping-fixed,1.5,0.5,315937,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315937,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315937,6-10,4,2
campaign75-fixed-daily,1.5,0.5,315937,11-20,7,6
campaign75-fixed-daily,1.5,0.5,315937,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315937,36-50,0,0
telescoping-fixed,1.5,0.5,315938,1-5,5,5
telescoping-fixed,1.5,0.5,315938,6-10,5,4
telescoping-fixed,1.5,0.5,315938,11-20,6,3
telescoping-fixed,1.5,0.5,315938,21-35,0,0
telescoping-fixed,1.5,0.5,315938,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315938,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315938,6-10,5,4
campaign75-fixed-daily,1.5,0.5,315938,11-20,6,4
campaign75-fixed-daily,1.5,0.5,315938,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315938,36-50,0,0
telescoping-fixed,1.5,0.5,315939,1-5,5,5
telescoping-fixed,1.5,0.5,315939,6-10,5,5
telescoping-fixed,1.5,0.5,315939,11-20,5,4
telescoping-fixed,1.5,0.5,315939,21-35,1,0
telescoping-fixed,1.5,0.5,315939,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315939,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315939,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315939,11-20,5,5
campaign75-fixed-daily,1.5,0.5,315939,21-35,1,1
campaign75-fixed-daily,1.5,0.5,315939,36-50,0,0
telescoping-fixed,1.5,0.5,315940,1-5,5,5
telescoping-fixed,1.5,0.5,315940,6-10,5,3
telescoping-fixed,1.5,0.5,315940,11-20,6,4
telescoping-fixed,1.5,0.5,315940,21-35,0,0
telescoping-fixed,1.5,0.5,315940,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315940,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315940,6-10,5,3
