design,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,delay,terminal_fdp,terminal_end_to_end_power
telescoping-fixed,1.0,0.5,41000014,0.0,0.125,0.125,1.0,2,458.5,0.0,0.0625
telescoping-hedged,1.0,0.5,41000014,0.0,0.0625,0.0625,1.0,1,366.0,0.0,0.0625
campaign25-fixed,1.0,0.5,41000014,0.0,0.125,0.125,1.0,2,466.0,0.0,0.0625
campaign50-fixed,1.0,0.5,41000014,0.0,0.125,0.125,1.0,2,466.0,0.0,0.0625
campaign75-fixed,1.0,0.5,41000014,0.0,0.125,0.125,1.0,2,488.5,0.0,0.0625
campaign-hedged,1.0,0.5,41000014,0.0,0.0625,0.0625,1.0,1,621.0,0.0,0.0625
anchored25-fixed,1.0,0.5,41000014,0.0,0.125,0.125,1.0,2,458.5,0.0,0.0625
anchored50-fixed,1.0,0.5,41000014,0.0,0.125,0.125,1.0,2,458.5,0.0,0.0625
anchored75-fixed,1.0,0.5,41000014,0.0,0.125,0.125,1.0,2,526.0,0.0,0.0625
telescoping-fixed,1.0,0.5,41000015,0.0,0.375,0.375,1.0,6,984.3333333333334,0.0,0.25
telescoping-hedged,1.0,0.5,41000015,0.0,0.0625,0.0625,1.0,1,1231.0,0.0,0.0625
campaign25-fixed,1.0,0.5,41000015,0.0,0.375,0.375,1.0,6,980.1666666666666,0.0,0.25
campaign50-fixed,1.0,0.5,41000015,0.0,0.25,0.25,1.0,4,1159.75,0.0,0.25
campaign75-fixed,1.0,0.5,41000015,0.0,0.25,0.25,1.0,4,1159.75,0.0,0.25
campaign-hedged,1.0,0.5,41000015,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000015,0.0,0.375,0.375,1.0,6,985.1666666666666,0.0,0.25
anchored50-fixed,1.0,0.5,41000015,0.0,0.25,0.25,1.0,4,1061.0,0.0,0.25
anchored75-fixed,1.0,0.5,41000015,0.0,0.1875,0.1875,1.0,3,1024.3333333333333,0.0,0.1875
telescoping-fixed,1.0,0.5,41000016,0.0,0.5625,0.5625,1.0,9,842.6666666666666,0.0,0.125
telescoping-hedged,1.0,0.5,41000016,0.0,0.25,0.25,1.0,4,844.75,0.0,0.0625
campaign25-fixed,1.0,0.5,41000016,0.0,0.5625,0.5625,1.0,9,837.1111111111111,0.0,0.0625
campaign50-fixed,1.0,0.5,41000016,0.0,0.5625,0.5625,1.0,9,837.6666666666666,0.0,0.0625
campaign75-fixed,1.0,0.5,41000016,0.0,0.6875,0.6875,1.0,11,886.9090909090909,0.0,0.0625
campaign-hedged,1.0,0.5,41000016,0.0,0.1875,0.1875,1.0,3,917.6666666666666,0.0,0.0625
anchored25-fixed,1.0,0.5,41000016,0.0,0.5625,0.5625,1.0,9,849.3333333333334,0.0,0.0625
anchored50-fixed,1.0,0.5,41000016,0.0,0.4375,0.4375,1.0,7,830.2857142857143,0.0,0.0625
anchored75-fixed,1.0,0.5,41000016,0.0,0.375,0.375,1.0,6,847.6666666666666,0.0,0.0625
telescoping-fixed,1.0,0.5,41000017,0.0,0.8125,0.8125,1.0,13,530.2307692307693,0.0,0.3125
telescoping-hedged,1.0,0.5,41000017,0.0,0.375,0.375,1.0,6,657.6666666666666,0.0,0.25
campaign25-fixed,1.0,0.5,41000017,0.0,0.8125,0.8125,1.0,13,499.46153846153845,0.0,0.4375
campaign50-fixed,1.0,0.5,41000017,0.0,0.8125,0.8125,1.0,13,489.84615384615387,0.0,0.5
campaign75-fixed,1.0,0.5,41000017,0.0,0.8125,0.8125,1.0,13,489.46153846153845,0.0,0.5625
campaign-hedged,1.0,0.5,41000017,0.0,0.5625,0.5625,1.0,9,909.8888888888889,0.0,0.3125
anchored25-fixed,1.0,0.5,41000017,0.0,0.8125,0.8125,1.0,13,524.4615384615385,0.0,0.375
anchored50-fixed,1.0,0.5,41000017,0.0,0.8125,0.8125,1.0,13,524.0769230769231,0.0,0.4375
anchored75-fixed,1.0,0.5,41000017,0.0,0.8125,0.8125,1.0,13,504.84615384615387,0.0,0.4375
telescoping-fixed,1.0,0.5,41000018,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000018,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000018,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000018,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000018,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000018,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000018,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000018,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000018,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000019,0.0,0.375,0.375,1.0,6,682.6666666666666,0.0,0.375
telescoping-hedged,1.0,0.5,41000019,0.0,0.4375,0.4375,1.0,7,740.2857142857143,0.0,0.3125
campaign25-fixed,1.0,0.5,41000019,0.0,0.375,0.375,1.0,6,681.8333333333334,0.0,0.375
campaign50-fixed,1.0,0.5,41000019,0.0,0.4375,0.4375,1.0,7,732.4285714285714,0.0,0.4375
campaign75-fixed,1.0,0.5,41000019,0.0,0.5,0.5,1.0,8,738.5,0.0,0.4375
campaign-hedged,1.0,0.5,41000019,0.0,0.4375,0.4375,1.0,7,738.8571428571429,0.0,0.375
anchored25-fixed,1.0,0.5,41000019,0.0,0.375,0.375,1.0,6,683.5,0.0,0.375
anchored50-fixed,1.0,0.5,41000019,0.0,0.375,0.375,1.0,6,697.6666666666666,0.0,0.3125
anchored75-fixed,1.0,0.5,41000019,0.0,0.375,0.375,1.0,6,718.5,0.0,0.25
telescoping-fixed,1.0,0.5,41000020,0.0,0.1875,0.1875,1.0,3,439.3333333333333,0.0,0.125
telescoping-hedged,1.0,0.5,41000020,0.0,0.1875,0.1875,1.0,3,737.6666666666666,0.0,0.1875
campaign25-fixed,1.0,0.5,41000020,0.0,0.125,0.125,1.0,2,416.0,0.0,0.125
campaign50-fixed,1.0,0.5,41000020,0.0,0.125,0.125,1.0,2,423.5,0.0,0.125
campaign75-fixed,1.0,0.5,41000020,0.0,0.1875,0.1875,1.0,3,607.6666666666666,0.0,0.1875
campaign-hedged,1.0,0.5,41000020,0.0,0.125,0.125,1.0,2,581.0,0.0,0.125
anchored25-fixed,1.0,0.5,41000020,0.0,0.125,0.125,1.0,2,416.0,0.0,0.125
anchored50-fixed,1.0,0.5,41000020,0.0,0.125,0.125,1.0,2,418.5,0.0,0.125
anchored75-fixed,1.0,0.5,41000020,0.0,0.125,0.125,1.0,2,486.0,0.0,0.125
telescoping-fixed,1.0,0.5,41000021,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000021,0.0,0.0625,0.0625,1.0,1,1259.0,0.0,0.0625
campaign25-fixed,1.0,0.5,41000021,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000021,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000021,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000021,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000021,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000021,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000021,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000022,0.0,0.125,0.125,1.0,2,623.5,0.0,0.0625
telescoping-hedged,1.0,0.5,41000022,0.0,0.125,0.125,1.0,2,668.5,0.0,0.0625
campaign25-fixed,1.0,0.5,41000022,0.0,0.125,0.125,1.0,2,643.5,0.0,0.0625
campaign50-fixed,1.0,0.5,41000022,0.0,0.125,0.125,1.0,2,698.5,0.0,0.0625
campaign75-fixed,1.0,0.5,41000022,0.0,0.0625,0.0625,1.0,1,666.0,0.0,0.0
campaign-hedged,1.0,0.5,41000022,0.0,0.0625,0.0625,1.0,1,686.0,0.0,0.0
anchored25-fixed,1.0,0.5,41000022,0.0,0.125,0.125,1.0,2,623.5,0.0,0.0625
anchored50-fixed,1.0,0.5,41000022,0.0,0.125,0.125,1.0,2,668.5,0.0,0.0625
anchored75-fixed,1.0,0.5,41000022,0.0,0.125,0.125,1.0,2,668.5,0.0,0.0
telescoping-fixed,1.0,0.5,41000023,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000023,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000023,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000023,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000023,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000023,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000023,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000023,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000023,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000024,0.0,0.125,0.125,1.0,2,1141.0,0.0,0.125
telescoping-hedged,1.0,0.5,41000024,0.0,0.0625,0.0625,1.0,1,1146.0,0.0,0.0625
campaign25-fixed,1.0,0.5,41000024,0.0,0.125,0.125,1.0,2,1143.5,0.0,0.125
campaign50-fixed,1.0,0.5,41000024,0.0,0.25,0.25,1.0,4,1124.75,0.0,0.125
campaign75-fixed,1.0,0.5,41000024,0.0,0.25,0.25,1.0,4,1147.25,0.0,0.25
campaign-hedged,1.0,0.5,41000024,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000024,0.0,0.125,0.125,1.0,2,1141.0,0.0,0.125
anchored50-fixed,1.0,0.5,41000024,0.0,0.0625,0.0625,1.0,1,1131.0,0.0,0.0625
anchored75-fixed,1.0,0.5,41000024,0.0,0.0625,0.0625,1.0,1,1131.0,0.0,0.0625
telescoping-fixed,1.0,0.5,41000025,0.0,0.5625,0.5625,1.0,9,948.2222222222222,0.0,0.4375
telescoping-hedged,1.0,0.5,41000025,0.0,0.4375,0.4375,1.0,7,1009.5714285714286,0.0,0.4375
campaign25-fixed,1.0,0.5,41000025,0.0,0.75,0.75,1.0,12,914.3333333333334,0.0,0.6875
campaign50-fixed,1.0,0.5,41000025,0.0,0.8125,0.8125,1.0,13,907.1538461538462,0.0,0.6875
campaign75-fixed,1.0,0.5,41000025,0.0,0.8125,0.8125,1.0,13,904.8461538461538,0.0,0.75
campaign-hedged,1.0,0.5,41000025,0.0,0.4375,0.4375,1.0,7,991.0,0.0,0.4375
anchored25-fixed,1.0,0.5,41000025,0.0,0.5625,0.5625,1.0,9,938.2222222222222,0.0,0.5
anchored50-fixed,1.0,0.5,41000025,0.0,0.75,0.75,1.0,12,948.5,0.0,0.6875
anchored75-fixed,1.0,0.5,41000025,0.0,0.75,0.75,1.0,12,973.0833333333334,0.0,0.6875
telescoping-fixed,1.0,0.5,41000026,0.0,0.1875,0.1875,1.0,3,1026.0,0.0,0.1875
telescoping-hedged,1.0,0.5,41000026,0.0,0.125,0.125,1.0,2,1058.5,0.0,0.125
campaign25-fixed,1.0,0.5,41000026,0.0,0.1875,0.1875,1.0,3,1032.6666666666667,0.0,0.1875
campaign50-fixed,1.0,0.5,41000026,0.0,0.1875,0.1875,1.0,3,1041.0,0.0,0.1875
campaign75-fixed,1.0,0.5,41000026,0.0,0.125,0.125,1.0,2,1048.5,0.0,0.125
campaign-hedged,1.0,0.5,41000026,0.0,0.125,0.125,1.0,2,1218.5,0.0,0.0
anchored25-fixed,1.0,0.5,41000026,0.0,0.1875,0.1875,1.0,3,1031.0,0.0,0.1875
anchored50-fixed,1.0,0.5,41000026,0.0,0.1875,0.1875,1.0,3,1054.3333333333333,0.0,0.125
anchored75-fixed,1.0,0.5,41000026,0.0,0.125,0.125,1.0,2,1033.5,0.0,0.125
telescoping-fixed,1.0,0.5,41000027,0.0,0.25,0.25,1.0,4,971.0,0.0,0.1875
telescoping-hedged,1.0,0.5,41000027,0.0,0.25,0.25,1.0,4,1054.75,0.0,0.125
campaign25-fixed,1.0,0.5,41000027,0.0,0.25,0.25,1.0,4,976.0,0.0,0.0625
